2021-12-14 12:33:17+00:00,1470733630700142592,m🎃,b'\xe2\x99\xaaSensation\xef\xbc\x8fWATWING\n#WATWING #\xe9\x88\xb4\xe6\x9c\xa8\xe6\x9b\x89 #\xe7\xa6\x8f\xe6\xbe\xa4\xe5\xb8\x8c\xe7\xa9\xba #Datefm #SESSION'
2021-12-14 12:32:59+00:00,1470733557043712000,uMalume weNumber,b'RT @DJKittyAmor: Pleased to see @KasangoMusic get a double win on the @DJmag Track of the Year with \xe2\x80\x9cCloser\xe2\x80\x9d &amp; \xe2\x80\x9cOsama\xe2\x80\x9d with @ZakesBantwiniS\xe2\x80\xa6'
2021-12-14 12:32:39+00:00,1470733471693877256,VirtualRodo🌶️✨,"b'@SMiTHiE___ Abeg go slap military man tommorow, so that u go get beards like Osama \xf0\x9f\xa4\x94'"
2021-12-14 12:32:33+00:00,1470733447589253122,Tyen Musa,"b""@daviehuva_ @Switchkenya @freddyholysan @Azulllaa @Osama_otero @tyrus_ io ni genge ya 'what was she wearing?'"""
2021-12-14 12:27:56+00:00,1470732284785569793,Ja Macalder,b'@HeemMufc @J1nmori @Osama_otero @kinyuaWaMuthoni @Reggaewailer @JamieButon BIGFISH'
2021-12-14 12:27:52+00:00,1470732267802837002,Kreative Nativez 🌓,b'RT @DJKittyAmor: Pleased to see @KasangoMusic get a double win on the @DJmag Track of the Year with \xe2\x80\x9cCloser\xe2\x80\x9d &amp; \xe2\x80\x9cOsama\xe2\x80\x9d with @ZakesBantwiniS\xe2\x80\xa6'
2021-12-14 12:27:51+00:00,1470732263562174467,Chidi,b'RT @PeterTitilola: PRAYER ANSWERED OSAMA BIN GUMI NEED TO NEGOTIATE FOR HIS BROTHER WITH HIS BUSINESS MEN BEFORE IT IS TOO LATE https://t.c\xe2\x80\xa6'
2021-12-14 12:25:36+00:00,1470731699734540288,Colly,"b'RT @LehiRed: What do Adolf Hitler,  Muammar Gaddafi, Saddam Hussein, Fidel Castro, Kim Jong-un, Osama bin Laden, Ebrahim Raisi (all enemies\xe2\x80\xa6'"
2021-12-14 12:25:02+00:00,1470731556700532737,Kitty Amor,b'Pleased to see @KasangoMusic get a double win on the @DJmag Track of the Year with \xe2\x80\x9cCloser\xe2\x80\x9d &amp; \xe2\x80\x9cOsama\xe2\x80\x9d with\xe2\x80\xa6 https://t.co/pShPW6JFtu'
2021-12-14 12:24:18+00:00,1470731370729287683,Xikokani,b'@Shimza01 Adiwele\nSithi shwi\nOsama(summer)\nAsibe happy'
2021-12-14 12:23:56+00:00,1470731277527568389,Dennis,b'@Reggaewailer @Osama_otero @kinyuaWaMuthoni @JamieButon Wash wash'
2021-12-14 12:23:54+00:00,1470731270464450561,raymond,b'RT @spermdonr: Platinum end\nOsama rankings\nSlime \xf0\x9f\x98\x8d'
2021-12-14 12:23:43+00:00,1470731224448573447,James Bong,b'@J1nmori @Osama_otero @kinyuaWaMuthoni @Reggaewailer Must be a mistake fam I dont know those mandems'
2021-12-14 12:23:25+00:00,1470731151111245832,MUGABARIGIRA,"b'@TreRusesabagina @freethehero If the US wanted to give Osama Bin Laden a fair trial, they would have asked for Paki\xe2\x80\xa6 https://t.co/azRjaUmsLh'"
2021-12-14 12:22:57+00:00,1470731029723889665,nwakaibeya,b'RT @PeterTitilola: PRAYER ANSWERED OSAMA BIN GUMI NEED TO NEGOTIATE FOR HIS BROTHER WITH HIS BUSINESS MEN BEFORE IT IS TOO LATE https://t.c\xe2\x80\xa6'
2021-12-14 12:22:27+00:00,1470730907292155905,Kwanele,"b""@Jaresh012 You prefer the one where a woman speak in language you don't understand like OSAMA https://t.co/BuUCb3hZjK"""
2021-12-14 12:21:42+00:00,1470730715541250054,Ajuoga Bob,b'@Osama_otero Very normal. Invest in a tailor a large wardrobe. You know where am getting with this.'
2021-12-14 12:19:31+00:00,1470730169614802948,Sir-Rap-A-Lot,b'@ItsJeffreyJeff @MoonlightDenta1 Tuende kesho?'
2021-12-14 12:19:25+00:00,1470730141814951936,Sir-Rap-A-Lot,b'RT @ItsJeffreyJeff: . @MoonlightDenta1 wako located pale Hurlingham along Jabavu Lane (Silverpool suites offices..mnaeza wafollow/Dm them f\xe2\x80\xa6'
